continent,country_of_birth,total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más,universe,source_table,source_file
Total,Total,1933463,20579,40130,55525,85843,111219,155745,194930,193685,165504,145046,138706,126000,105851,98792,101522,86460,54623,31911,15693,5059,640,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Angola,177,4,0,7,16,19,33,14,13,8,17,11,11,10,4,5,2,0,2,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Argelia,138,2,3,1,2,6,9,12,10,11,13,6,9,14,14,6,10,3,5,2,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Benin,6,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Botswana,8,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Burkina Faso,18,0,0,1,0,0,1,0,1,1,2,4,1,1,2,0,2,0,0,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Burundi,8,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Cabo Verde,46,0,1,0,2,3,2,2,2,1,2,2,2,2,2,9,4,7,1,1,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Camerún,40,1,1,1,1,2,5,8,4,3,5,5,0,3,0,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Chad,7,0,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Comoras,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Congo,29,0,0,0,2,1,3,1,3,2,5,2,2,1,4,0,1,0,1,0,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Costa de Marfil,28,0,0,1,0,2,5,2,3,6,4,0,3,0,1,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Djibouti,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Egipto,238,1,2,3,7,7,11,15,19,13,9,12,8,16,18,37,31,12,7,6,3,1,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Eritrea,17,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,4,7,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Etiopía,32,0,0,3,1,2,1,1,4,0,0,1,1,0,0,0,4,14,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Gabón,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Gambia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Ghana,103,0,1,1,1,5,22,16,20,9,11,7,6,1,1,0,1,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Guinea,19,0,0,0,1,0,5,8,2,0,1,0,0,1,0,0,0,0,1,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Guinea Bissau,31,1,7,14,4,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Guinea Ecuatorial,31,2,1,1,0,1,11,11,1,0,1,0,0,1,0,0,0,0,0,1,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Kenya,21,1,1,4,0,0,2,4,1,3,1,2,1,0,1,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Lesotho,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Liberia,18,0,0,0,0,0,0,5,3,0,1,2,4,3,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Libia,39,0,0,2,0,0,1,1,1,2,1,1,2,0,1,4,3,13,7,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Madagascar,7,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Malawi,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Malí,17,0,1,0,0,0,1,2,0,2,0,2,5,0,0,1,1,1,1,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Marruecos,231,0,2,1,3,5,16,21,21,13,14,15,6,11,25,17,15,22,19,4,1,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Mauricio,4,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Mauritania,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Mozambique,21,0,0,0,1,5,2,0,3,6,1,0,1,1,0,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Namibia,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Níger,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Nigeria,123,1,3,3,3,3,11,17,21,18,19,7,11,3,2,0,0,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,República Centroafricana,7,0,1,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,República Democrática del Congo,50,0,0,0,2,2,8,8,3,6,3,5,2,4,4,0,2,1,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Rwanda,6,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Santo Tomé y Príncipe,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
África,Senegal,1120,3,1,5,5,32,109,234,270,225,125,67,24,7,3,1,1,3,1,2,2,0,Poblacion en viviendas particulares,"Cuadro 11. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun grupo de edad. Ano 2022",c2022_tp_migraciones_c11.xlsx
